,data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_attualmente_positivi,nuovi_attualmente_positivi,dimessi_guariti,deceduti,totale_casi,tamponi
182,2020-03-03 18:00:00,ITA,20,Sardegna,39.21531192,9.110616306,1,0.0,1,0,1,1,0,0,1,29
183,2020-03-03 18:00:00,ITA,19,Sicilia,38.11569725,13.3623567,2,0.0,2,3,5,0,2,0,7,307
184,2020-03-03 18:00:00,ITA,9,Toscana,43.76923077,11.25588885,10,0.0,10,8,18,6,1,0,19,697
185,2020-03-03 18:00:00,ITA,4,Trento,46.06893511,11.12123097,1,0.0,1,3,4,4,0,0,4,122
186,2020-03-03 18:00:00,ITA,10,Umbria,43.10675841,12.38824698,1,1.0,2,6,8,6,0,0,8,45
187,2020-03-03 18:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,0,0.0,0,0,0,0,0,0,0,12
188,2020-03-03 18:00:00,ITA,5,Veneto,45.43490485,12.33845213,49,19.0,68,229,297,26,7,3,307,10176
189,2020-03-04 17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,7,0.0,7,0,7,1,0,0,7,85
190,2020-03-04 17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,0,0.0,0,1,1,0,0,0,1,48
191,2020-03-04 17:00:00,ITA,4,Bolzano,46.49933453,11.35662422,1,0.0,1,0,1,0,0,0,1,20
192,2020-03-04 17:00:00,ITA,18,Calabria,38.90597598,16.59440194,0,0.0,0,1,1,0,0,0,1,46
193,2020-03-04 17:00:00,ITA,15,Campania,40.83956555,14.25084984,11,0.0,11,20,31,1,0,0,31,429
194,2020-03-04 17:00:00,ITA,8,Emilia Romagna,44.49436681,11.3417208,256,26.0,282,234,516,118,6,22,544,2500
195,2020-03-04 17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,3,0.0,3,15,18,5,0,0,18,376
196,2020-03-04 17:00:00,ITA,12,Lazio,41.89277044,12.48366722,15,3.0,18,9,27,16,3,0,30,995
197,2020-03-04 17:00:00,ITA,7,Liguria,44.41149315,8.9326992,10,3.0,13,8,21,2,4,1,26,133
198,2020-03-04 17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,877,209.0,1086,411,1497,171,250,73,1820,12138
199,2020-03-04 17:00:00,ITA,11,Marche,43.61675973,13.5188753,34,15.0,49,31,80,21,0,4,84,288
200,2020-03-04 17:00:00,ITA,14,Molise,41.55774754,14.65916051,3,0.0,3,0,3,0,0,0,3,19
201,2020-03-04 17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,26,13.0,39,43,82,26,0,0,82,543
202,2020-03-04 17:00:00,ITA,16,Puglia,41.12559576,16.86736689,4,0.0,4,3,7,1,1,1,9,322
203,2020-03-04 17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,1,0.0,1,1,2,1,0,0,2,42
204,2020-03-04 17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,5,0.0,5,11,16,11,2,0,18,367
